bin,n,mean_pred,frac_pos,abs_error
"(-0.001, 0.1]",24,0.03644262977565328,0.041666666666666664,0.0052240368910133825
"(0.1, 0.2]",23,0.15580859569751698,0.043478260869565216,0.11233033482795177
"(0.2, 0.3]",8,0.24523788839578628,0.25,0.00476211160421372
"(0.3, 0.4]",7,0.35229231310742243,0.2857142857142857,0.06657802739313673
"(0.4, 0.5]",10,0.44909880816936487,0.3,0.14909880816936488
"(0.5, 0.6]",18,0.5341032303041882,0.5,0.03410323030418816
"(0.6, 0.7]",7,0.6590515834944589,0.8571428571428571,0.19809127364839818
"(0.7, 0.8]",17,0.7446095210664412,0.7647058823529411,0.020096361286499942
"(0.8, 0.9]",38,0.867121799682316,0.8947368421052632,0.02761504242294721
"(0.9, 1.0]",32,0.9305500742048025,0.96875,0.03819992579519749
