bin,n,mean_pred,frac_pos,abs_error
"(-0.001, 0.1]",19,0.06485076,0.0,0.06485076248645782
"(0.1, 0.2]",23,0.1551758,0.08695652173913043,0.06821928335272748
"(0.2, 0.3]",15,0.23078214,0.13333333333333333,0.09744880298773448
"(0.3, 0.4]",8,0.35816592,0.375,0.0168340802192688
"(0.4, 0.5]",14,0.43150926,0.35714285714285715,0.07436639922005789
"(0.5, 0.6]",8,0.55776805,0.5,0.057768046855926514
"(0.6, 0.7]",16,0.6562577,0.75,0.09374231100082397
"(0.7, 0.8]",10,0.7684156,0.8,0.031584429740905806
"(0.8, 0.9]",43,0.86516213,0.9069767441860465,0.04181461001551423
"(0.9, 1.0]",28,0.9316758,0.9642857142857143,0.03260992254529682
