k,n_features,mean_auc,std_auc,mean_avg_precision,std_avg_precision,model_artifact,model_size_bytes
1,1,0.7464777017622547,0.019083142354074916,0.7257142564804012,0.018241595760216917,../artifacts\feature_selection\pipeline_top1.joblib,80948
2,2,0.7720012367437842,0.023519525548387394,0.7449707054151398,0.020088896507691485,../artifacts\feature_selection\pipeline_top2.joblib,82923
3,3,0.80632761848209,0.031534161665403466,0.7824385047761808,0.02921536347938413,../artifacts\feature_selection\pipeline_top3.joblib,89339
4,4,0.82674410704221,0.030000910841772744,0.8168903336372335,0.02493283059656965,../artifacts\feature_selection\pipeline_top4.joblib,122739
5,5,0.8346685007254113,0.03325735340917401,0.830741903218103,0.025646951872796628,../artifacts\feature_selection\pipeline_top5.joblib,162725
6,6,0.8071667477358535,0.0189504377446253,0.8173411524132428,0.021548122697649556,../artifacts\feature_selection\pipeline_top6.joblib,175171
7,7,0.8238790974156828,0.03687181178969903,0.8416621653830397,0.033964095196024544,../artifacts\feature_selection\pipeline_top7.joblib,201013
8,8,0.8273468090676763,0.03797821877395347,0.8335429733652934,0.028895698470735344,../artifacts\feature_selection\pipeline_top8.joblib,209991
9,9,0.837347272320172,0.02788666130384398,0.8446520588940022,0.022133421123199933,../artifacts\feature_selection\pipeline_top9.joblib,211149
10,10,0.8400754504955048,0.025802344184784623,0.8492629811247199,0.018206023562810897,../artifacts\feature_selection\pipeline_top10.joblib,208465
11,11,0.8422571556717898,0.025988635634615218,0.848150114783007,0.022114356167945545,../artifacts\feature_selection\pipeline_top11.joblib,214451
12,12,0.8415463578878212,0.02582995633513609,0.8426495869702604,0.027438138149954164,../artifacts\feature_selection\pipeline_top12.joblib,214385
13,13,0.8441995733865653,0.0250860969576202,0.8500818161505537,0.02047009067046939,../artifacts\feature_selection\pipeline_top13.joblib,214727
14,14,0.8447676051741093,0.03220824018095371,0.8492418582212684,0.034385780518268856,../artifacts\feature_selection\pipeline_top14.joblib,201333
15,15,0.8542420241607231,0.024744822468740317,0.8531097613785723,0.019141079634300256,../artifacts\feature_selection\pipeline_top15.joblib,197935
16,16,0.8544092302357885,0.028096752000251576,0.8554324920549368,0.02693296269361759,../artifacts\feature_selection\pipeline_top16.joblib,200385
17,17,0.8512334799597671,0.03222876550875837,0.8502457794007657,0.03467409714923204,../artifacts\feature_selection\pipeline_top17.joblib,201271
18,18,0.8500809709210794,0.036165520182763464,0.8456898889955744,0.03261205492181045,../artifacts\feature_selection\pipeline_top18.joblib,198553
19,19,0.846991357533363,0.0372797108600117,0.8381192303366625,0.036621170224681684,../artifacts\feature_selection\pipeline_top19.joblib,199915
20,20,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top20.joblib,198217
21,21,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top21.joblib,198219
22,22,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top22.joblib,198221
23,23,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top23.joblib,198223
24,24,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top24.joblib,198225
25,25,0.8446454047809061,0.03559219276241897,0.8442372123592277,0.03472367797942485,../artifacts\feature_selection\pipeline_top25.joblib,198227
